company_urlname,shares,C2B_likes,total_comments,weekday,afinnscore,bingscore,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,safety,performance,adventure,luxury,affordable
Acura,0.7,60.6,26.8,3.6,4,1.7,0.2,1.3,0,0.2,1.4,0.4,2.5,0.1,0.8,0.9,0,1,0,1,0
astonmartin,277.7,2500.9,96,3.7,3.9,1.8,0.4,2,0.1,0.3,1.4,0.5,4.6,0.3,1,1.8,1,1,1,1,0
audi,1163.5,8507.3,371.4,3.8,1.5,0.9,0.7,1.4,0.6,0.7,1.2,0.7,1.9,0.5,0.5,1.2,0,1,1,1,0
BentleyMotors,15.6,183.5,7.9,2.5,5.2,4.5,0.5,2.9,0.1,1,2.6,0.8,6.6,0.1,1.1,3,1,1,0,1,0
BMWUSA,40.9,446.7,46.8,3.9,3.6,1.3,0.1,1.5,0,0.4,1,0.2,1.9,0.2,0.6,1.4,0,1,1,1,0
Buick,13,113.5,38.6,3.4,4.4,1.9,0.5,1.9,0.4,0.6,1.9,1,3.6,0.4,1,2,0,1,0,1,0
cadillac,90,1009.9,85.3,3.7,2.4,1.6,0.3,0.9,0.3,0.6,1.2,0.5,2.5,0.4,0.4,1.3,1,1,0,1,0
chevrolet,109.6,507.5,73.5,3.6,5.1,1.6,0.4,1.3,0.1,0.3,1.3,0.5,1.8,0.4,0.7,1.2,0,1,1,0,0
Chrysler,23.1,244.7,21.8,2.9,4.5,1.6,0.3,0.9,0,0.2,1,0.4,2.1,0.2,0.6,0.9,0,0,0,0,0
dodge,148,1321.7,153.4,2.8,2.8,1.1,0.3,1.1,0,0.5,1,0.5,1.8,0.2,0.6,1.3,0,1,1,0,0
Ferrari,332.8,3611.7,99.5,3.2,3.9,2.4,0.3,1.8,0.3,0.6,1.3,0.4,3.1,0.2,0.5,1.8,0,1,1,1,0
ford,97,732.4,116,3.3,3.7,1.6,0.3,1.2,0.2,0.4,1.2,0.8,3.1,0.5,0.5,1.4,0,1,0,0,1
gmc,24.7,327.7,49.1,3.4,5,1.7,0.2,1.1,0.1,0.4,0.8,0.6,1.9,0.4,0.5,1.3,0,0,0,0,0
Honda,1,702.5,50.1,3.5,2.4,1.1,0.4,1.2,0.1,0.2,1,0.9,2,0.4,0.4,1.1,1,0,0,0,1
hummer,34.6,456.5,44.5,2.5,0.4,0,0.2,1.2,0.1,0.2,0.8,0.5,1.2,0.2,0,0.9,0,0,0,0,0
Hyundai,39.1,222.5,39.3,3.7,3.2,1.1,0.3,0.8,0.2,0.3,1.1,0.4,1.8,0.4,0.6,0.8,0,1,0,0,1
infiniti,18.5,230.3,20,3.3,5.3,2.2,0.5,1.8,0.4,0.6,2.1,0.8,3.7,0.4,0.8,1.9,0,1,0,0,1
JaguarUSA,22.2,384.7,35.8,3.6,2.8,1.8,0,0.8,0,0.1,1.1,0.3,2,0.2,0.3,0.9,0,1,1,1,0
jeep,111.8,1479.2,199.3,3,4.8,1.5,0.3,1.5,0.2,0.3,1.1,0.5,1.9,0.3,0.7,0.9,0,1,1,0,0
Kia,4.7,38.8,9.5,3.6,5.9,2.2,0.3,1.2,0.1,0.1,1.4,0.8,2.9,0.5,0.8,1.7,1,1,0,0,1
Lamborghini,1328.3,8327.8,410.7,3.6,3.6,1.8,0.1,1.8,0,0.4,1.5,0.2,2.8,0.2,0.7,1.2,1,1,1,1,1
landrover,63,472.6,21.6,4.6,4.4,1.6,0.6,2.8,0,2.6,2,1.2,4.6,1.2,1,0.8,1,1,1,0,0
lexus,47.5,626.7,60.5,3.1,4.3,1.6,0.3,1.4,0.2,0.5,1.2,0.5,2.7,0.2,0.7,1.5,0,1,0,0,0
Lincoln,9.8,128.2,33.9,3.6,3.6,2.4,0.1,1.5,0.2,0.3,1.7,0.2,4,0.2,0.6,2,0,0,0,0,0
LotusCars,9.1,75.9,6.3,3.4,1.7,1.1,0.4,1.3,0.2,0.4,0.8,0.8,1.8,0.4,0.5,1,0,0,0,0,0
Maserati,53.1,589.3,22.1,2.4,6.3,2.6,0.4,2,0,0.4,1.9,0.6,3.4,0.1,0.3,1.4,0,1,1,1,0
Mazda,74.8,641.8,106.1,3.9,5.4,2.3,0.4,1.7,0.2,0.4,1.7,0.7,3,0.3,0.8,2,0,0,0,0,1
mercedesbenzusa,29.6,291.5,22.9,3.8,4.4,1.7,0.4,1.4,0.2,0.5,1.3,0.8,3.2,0.3,0.5,1.4,1,1,1,1,0
MINIUSA,17.1,144.7,23.7,3.8,3.7,1.4,0.3,1.2,0.1,0.3,1.5,0.4,2.6,0.4,0.5,1.4,0,1,0,0,0
Mitsubishi,7.9,189.7,16.6,3.3,3.3,1.1,0.3,1.3,0.1,0.5,1,0.6,1.7,0.1,0.3,0.8,0,0,0,0,1
Nissan,70.6,554.1,75.4,3.5,3.8,1.7,0.2,1.2,0.1,0.2,1.1,0.4,2.3,0.2,0.7,1.4,0,0,0,0,1
Pontiac,0.5,179,275,3.3,3,1.2,0.3,1.5,0.3,0.3,1.8,0.7,2.3,0.3,0.3,1.7,1,1,0,0,0
porsche,272.7,2017.9,121.6,3.8,4,1.9,0,2,0.1,0.1,1.7,0,3.1,0.1,0.7,1.8,0,1,1,1,0
ramtrucks,57.6,669.5,62.8,3.1,4.3,0.9,1.3,1.9,0.1,0.2,0.7,1.4,1.7,0.4,0.8,1,0,1,0,0,0
rollsroycemotorcars,44,522.1,36.8,2.8,4.2,2.4,0.1,2.2,0,0.6,1.4,1.3,4.1,0.1,0.6,1.6,0,0,0,1,0
saturn,0,27,59.2,2.5,1.3,0.7,0.2,0.5,0.2,0.3,1,0.5,1.3,0,0,1.7,0,0,0,0,0
scion,11,60.9,9,2.8,2.4,1.1,0.3,1.2,0.1,0.3,0.8,0.4,2.2,0.2,0.5,0.8,0,1,0,0,0
smartusa,9.4,101.8,45.9,3.8,2.5,1.6,0.1,0.6,0,0.2,0.4,0.2,1.2,0,0.3,0.5,0,1,0,0,0
subaruofamerica,41.9,263.3,34.1,3.3,4.8,2,0.4,1.9,0.2,0.4,2,0.8,3.5,0.4,0.7,1.8,0,0,0,0,0
SuzukiAuto,5.4,62.7,7.8,4.2,4.4,1.5,0.3,1.7,0.1,0.2,1.6,0.6,2.4,0.4,1.3,1.4,1,1,0,0,1
toyota,28.5,222.8,25.3,4,3.8,1.6,0.2,1.2,0.1,0.4,1.2,0.4,2.3,0.3,0.6,1.2,0,1,0,0,1
VolvocarsUS,9.3,121.3,27.5,3.7,6,2.2,0.3,1.6,0.2,0.3,1.8,0.5,3,0.1,0.8,1,1,1,0,0,0
VW,70.2,481.4,84.8,3.5,4.5,1.6,0.3,1.3,0.1,0.2,1.4,0.4,2.3,0.2,0.5,1.3,1,1,0,0,0